layer,p_exponent,conditional_J_exponent,J_exponent,route_rms_exponent,remaining_rms_exponent,total_rms_exponent,switches_alpha_min,switches_alpha_1
31,0.5134298222500795,0.016747446986014512,0.530177269236047,0.2650886346180235,0.3240577019739025,0.28966865343667064,5587,48793
32,0.4947503765796812,0.02624226919810481,0.5209926457777665,0.26049632288888325,0.33414756596449985,0.2983191828557678,6182,49788
33,0.4984459009855534,0.020285035835841504,0.5187309368213716,0.2593654684106858,0.3193826442400632,0.28586152136686493,6191,50657
34,0.49532178122992054,-0.003675614816244555,0.4916461664136922,0.2458230832068461,0.33839886315568246,0.30725011720585294,6012,48569
35,0.4859065544694166,0.01287541555270841,0.49878197002210667,0.24939098501105333,0.30152086561321534,0.2708903548589774,6412,50213
36,0.4818194336500074,0.011892898111654416,0.4937123317617051,0.24685616588085255,0.30673275859298266,0.2749785808904249,6364,48732
37,0.4713795381226782,0.016054436626732175,0.48743397474939926,0.24371698737469963,0.29688481163450414,0.2682614714059199,6688,49072
38,0.47158225469555975,0.008776968320174718,0.4803592230157142,0.2401796115078571,0.29367689176896006,0.26755656276811157,5037,36804
39,0.4596131235199706,0.0073084356177778205,0.4669215591377459,0.23346077956887296,0.29181566976844214,0.2601733922940613,5660,39799
40,0.45436141456527496,0.012994280698070909,0.4673556952633437,0.23367784763167185,0.29224341336910203,0.25989292021691124,6026,41214
41,0.4498019011471934,0.012130682382846158,0.4619325835300495,0.23096629176502476,0.2858545607357941,0.25661484691151376,5277,35336
42,0.44840634940682156,0.01508021404158741,0.46348656344840783,0.23174328172420391,0.2878851221560016,0.2635897002838179,4930,32753
43,0.43962386937614745,0.010683423290057245,0.4503072926662077,0.22515364633310386,0.2812906517180004,0.2553168471159167,5080,32500
44,0.4381659114685192,0.0044828224751609635,0.4426487339436168,0.2213243669718084,0.2797196438769284,0.24602455704112183,5528,35340
45,0.43938807907004584,0.010079337470769322,0.4494674165405954,0.2247337082702977,0.2704982651003474,0.24691409247232105,5750,36546
46,0.43143692429814195,0.0045426102831121135,0.4359795345811517,0.21798976729057584,0.27351558045849955,0.24577014220346344,6044,37576
47,0.42817545568835,0.003683792113109965,0.4318592478013276,0.2159296239006638,0.2684073447673517,0.24187239207856898,6030,37134
48,0.4307708267210331,0.0008383932122280478,0.43160921993325907,0.21580460996662953,0.2701069287810984,0.24549181765128691,3909,24357
